                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.338,                 5.8313,                 4.1798,                      0,                      0,                      0,                      0,                 4.7164,                 5.0307,                 4.1365,              0.0033071,              0.0033071,              0.0033071
                      2,                 3.0933,                 3.6025,                 2.9319,                0.72084,                0.14769,                0.13044,                 0.0535,                 2.1258,                 2.3032,                  2.021,              0.0066273,              0.0066273,              0.0066273
                      3,                 2.0789,                 2.2777,                  1.852,                0.56274,                  0.207,                0.19674,                0.09483,                 1.8109,                   2.55,                 1.6799,              0.0099343,              0.0099343,              0.0099343
                      4,                 1.7693,                 1.7858,                 1.5428,                0.65813,                0.26656,                0.32473,                0.17096,                 1.5851,                 1.6127,                 1.4755,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6066,                  1.458,                 1.4184,                0.78659,                 0.3357,                0.37501,                0.21277,                 1.4774,                 1.3025,                 1.3825,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.5119,                 1.2602,                 1.3598,                0.78736,                0.35435,                0.43604,                0.25957,                 1.4181,                 1.1019,                 1.3326,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.4508,                 1.1451,                 1.3224,                0.70405,                 0.5062,                 0.5152,                0.31301,                 1.3448,                0.99987,                 1.2837,               0.009901,               0.009901,               0.009901
                      8,                 1.4121,                 1.0639,                 1.2933,                0.80996,                0.44284,                0.52689,                0.32868,                 1.3003,                0.88563,                 1.2616,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.3825,                 1.0136,                 1.2816,                0.74284,                0.47724,                0.51964,                0.31968,                 1.3279,                 0.8868,                 1.2699,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.3613,                 0.9743,                 1.2658,                0.80916,                0.53211,                0.62222,                0.39814,                 1.2816,                0.85795,                 1.2501,              0.0098416,              0.0098416,              0.0098416
